ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.080794504276835433e+00,2.048904554713363098e+02,2.079131898074702258e+04,7.300211873184757394e+00,3.685164413498033582e+02,5.643086541722439051e+02,1.037978307808469935e+01,8.699097046150879464e+01,2.963135380631640725e+00,0.000000000000000000e+00
3.716080075386989812e+00,1.294229205149442521e+02,1.863005785797034696e+04,6.635245883861999872e+00,3.337757766108135229e+02,5.928853591348522514e+02,1.518001311635726047e+01,5.632907628451764026e+01,4.500656274942407720e+00,0.000000000000000000e+00
8.099124189298397170e+00,2.242362593935577593e+02,1.990954173229239677e+04,9.275883602694088736e+00,3.337757766108135229e+02,4.186062130644814943e+02,1.686863692955097349e+01,6.642009251176368423e+01,3.055933749664168531e+00,0.000000000000000000e+00
8.316765884214678550e+00,2.143733940856224933e+02,2.201841744077529074e+04,8.059332377438540362e+00,3.568861356430566616e+02,3.632665161642436829e+02,1.843652449549330541e+01,1.003416743650800811e+02,4.628770536837084393e+00,0.000000000000000000e+00
9.092223456290964734e+00,1.811015092361252528e+02,1.797898633892625003e+04,6.546599974207940598e+00,3.101357375242044441e+02,3.984108133818447186e+02,1.155827944344639668e+01,3.199799272742473732e+01,4.075075425430034315e+00,0.000000000000000000e+00
5.584086638456088991e+00,1.883133237696164031e+02,2.874868773904611953e+04,7.544868788779649726e+00,3.266783629116736165e+02,2.804679159334876886e+02,8.399734640152757947e+00,5.491786184199447263e+01,2.559708227556521720e+00,0.000000000000000000e+00
1.022386216452877150e+01,2.480717352701399250e+02,2.874971654352823680e+04,7.513408465831302507e+00,3.936633955150964539e+02,2.836516335078445081e+02,1.378969531751988598e+01,8.460355617402356643e+01,2.672988736934779119e+00,0.000000000000000000e+00
8.635848718500733767e+00,2.033615225845705083e+02,1.367209176390163520e+04,4.563008685599703185e+00,3.033097711592811834e+02,4.746076449424484736e+02,1.236381669870525002e+01,6.279830896292516229e+01,4.401424715445481972e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.189885790902518750e+02,1.428558385422451647e+04,7.804173553073093572e+00,2.686469407462209915e+02,3.893755658712614149e+02,1.270604896865791034e+01,5.392884576751224301e+01,3.595017180957615466e+00,0.000000000000000000e+00
1.118028447072159182e+01,2.272314692379745509e+02,2.548450849098786057e+04,9.077200016914391156e+00,4.040416346840900133e+02,5.638854814810948710e+02,1.792780641128501884e+01,7.197660103221915051e+01,4.370561936655496638e+00,0.000000000000000000e+00
7.360640105838258229e+00,1.655207972595286208e+02,3.245261440914388368e+04,7.550700906704114423e+00,3.266243534556016357e+02,4.253834194953872725e+02,1.558681043803312605e+01,7.874001566430479215e+01,3.662291782852456823e+00,0.000000000000000000e+00
7.974521648923868611e+00,2.186933004886664378e+02,1.876765668181348155e+04,8.110384501123874657e+00,3.337757766108135229e+02,3.640982304620487184e+02,1.452574569759320866e+01,7.648591117965156627e+01,4.011718108339787037e+00,0.000000000000000000e+00
7.119824384264552108e+00,1.567049933403921500e+02,1.873081365334271686e+04,3.606036090505719827e+00,2.823440504739605785e+02,3.477150272619437601e+02,1.592953590882570047e+01,7.950077833697440610e+01,3.445756223321899014e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.501749233951362044e+02,2.733136196192775969e+04,6.838223470687508687e+00,2.994157813468584663e+02,3.797618348257724961e+02,1.937080718123212364e+01,7.650999552795829572e+01,4.413974182974902405e+00,0.000000000000000000e+00
7.496232207973360318e+00,2.053449821581851609e+02,2.838800488673696964e+04,5.072557773840631334e+00,3.337757766108135229e+02,4.446453523327065795e+02,1.322831109922452875e+01,7.030021264692436489e+01,4.777382337225377640e+00,0.000000000000000000e+00
6.347271760539316077e+00,1.867328806605761145e+02,4.106523476453935291e+04,9.629596276480583583e+00,3.644876872467604016e+02,5.167432818936570129e+02,1.153978119153942039e+01,7.507161728663777467e+01,4.376348290691898235e+00,0.000000000000000000e+00
7.051785800016845407e+00,2.110494060605457491e+02,3.098060078678886566e+04,1.009479601166142615e+01,3.337757766108135229e+02,3.151412672443021279e+02,2.039702184072245927e+01,5.665160378979331313e+01,4.268428857506186169e+00,0.000000000000000000e+00
9.181560007151535530e+00,2.738138066598009459e+02,2.404132628006127925e+04,6.904989726470096123e+00,3.983505168222778821e+02,4.779746418621779185e+02,1.338734078022554463e+01,7.145736221295159396e+01,4.503660796179121739e+00,0.000000000000000000e+00
8.975464347533963050e+00,2.793571667700924195e+02,1.946039813123211206e+04,6.204320858892473645e+00,3.337757766108135229e+02,4.314439899903489390e+02,1.288875905430398916e+01,6.382123709666397104e+01,2.436085590305273385e+00,0.000000000000000000e+00
7.371050302429530632e+00,2.144966104571565495e+02,2.563032003699972483e+04,4.432669290372123427e+00,3.357544385960652562e+02,4.699145514792359108e+02,1.250916394049869673e+01,6.279727715266125898e+01,2.560299147614914617e+00,0.000000000000000000e+00
7.080794504276835433e+00,2.274350483511560128e+02,2.230556741374140984e+04,1.033391788821868040e+01,3.337757766108135229e+02,5.548200864605432798e+02,1.633169328269445941e+01,4.538281517787093122e+01,4.133422643579169886e+00,0.000000000000000000e+00
